Server_1,Server_2,Server_3,Server_4,Server_5, Server_6,Server_7,Server_8,Server_9,Server_10,Server_11,Server_12,Server_13,Server_14,Server_15,Server_16,Server_17,Server_18,Server_19,Server_20,Server_21,Server_22,Server_23,Server_24,Server_25
260,1055,107,35,391,33,101,2223,86,281,516,2211,220,160,484,476,128,493,169,566,102,70,900,367,2255
294,5495,88,25,392,33,110,115,871,297,515,2515,219,125,458,474,129,307,651,584,103,60,1329,525,2247
257,1109,95,22,390,32,101,146,87,314,695,3516,219,125,813,474,130,323,675,554,103,59,903,266,2258
261,1218,87,23,403,32,102,285,594,296,516,2521,217,128,466,472,129,306,633,546,103,59,594,261,2255
341,1058,86,24,389,627,101,112,82,289,516,2022,219,154,458,472,136,304,779,750,102,68,549,271,2252
257,1097,107,23,392,33,101,155,292,296,520,3682,217,133,465,473,136,305,744,572,121,62,762,559,2378
261,1065,380,38,391,33,102,2229,356,288,516,4780,217,130,466,477,130,305,531,585,103,55,1140,1631,2251
256,1155,221,41,391,34,102,216,96,290,517,5351,217,129,458,478,140,331,176,563,102,62,2450,243,2251
259,1093,222,23,390,33,102,100,90,287,694,2349,219,361,456,477,129,307,654,642,103,58,534,522,2258
256,1093,111,35,483,33,289,403,92,289,516,2793,219,129,600,480,135,310,762,668,103,60,1190,242,2251
255,1085,91,24,394,33,102,96,81,280,516,6004,220,124,460,477,128,712,439,586,103,58,1686,274,2262
261,1107,87,24,391,33,104,110,85,282,516,5459,228,126,461,474,130,310,1003,550,104,63,898,271,2329
258,1133,84,25,393,36,103,4115,678,286,517,4685,218,128,469,477,130,344,775,677,101,58,858,403,2441
252,1098,106,24,390,32,103,98,85,307,516,5541,217,132,463,478,130,1384,771,561,95,61,894,235,2260
254,1193,250,25,398,32,102,112,631,283,696,6276,349,128,464,475,141,791,800,570,94,59,2442,667,2257
259,1098,213,25,391,34,102,108,83,289,463,5454,221,126,463,473,141,324,533,548,92,56,900,272,2250
262,1064,108,24,397,33,108,98,776,342,516,5061,220,125,664,474,131,341,192,553,91,60,541,458,2262
253,1066,83,24,393,34,102,154,92,358,517,5209,219,124,484,474,128,307,396,597,93,56,1126,237,2262
256,1162,282,22,394,33,104,7248,97,297,516,5128,217,135,471,475,313,310,661,555,94,62,539,2169,2258
261,1084,226,24,392,34,106,108,94,293,517,5378,220,124,469,483,131,325,248,541,103,58,2587,277,2245
257,1070,84,24,390,32,102,98,93,287,778,5449,216,154,473,475,139,325,527,562,106,60,1320,258,2268
265,1068,251,26,394,32,103,133,83,286,518,4577,217,126,568,480,131,315,393,552,94,62,1038,280,2635
261,1118,108,23,397,32,102,42090,535,295,520,5783,221,125,479,476,128,309,518,578,141,65,1066,495,2265
259,1057,83,24,395,34,105,106,93,293,519,5307,221,125,481,476,133,319,283,544,102,60,895,653,2440
459,1082,279,30,393,33,105,165,81,285,537,40185,218,125,500,491,128,332,699,546,104,56,704,752,2246
258,1262,85,23,392,32,102,93,413,287,518,28690,219,131,523,513,131,304,454,553,100,58,887,259,2242
263,1061,107,23,391,34,104,110,82,312,700,33724,217,154,490,518,132,310,687,556,97,56,898,251,2262
281,1108,86,27,392,33,102,193,83,285,516,21008,219,127,515,475,163,334,369,565,93,56,533,303,2261
259,1096,271,30,395,35,102,221,475,463,517,27880,314,262,502,475,130,309,253,550,96,413,539,968,2247
339,1280,130,55,510,78,227,143,426,423,643,29405,218,134,479,623,131,357,669,665,103,56,885,325,2416
253,1086,95,30,466,34,107,138,432,281,517,19662,220,126,484,478,130,414,204,575,102,68,534,619,2253
258,1060,85,25,394,33,102,100,491,309,518,33148,218,128,499,477,128,307,462,736,97,56,1191,255,2254
256,1083,88,24,392,34,103,138,87,306,710,79316,217,127,598,475,129,312,343,561,105,62,535,278,2259
253,1058,217,24,391,34,106,120,83,328,517,20517,218,126,495,477,130,306,538,638,99,61,539,225,2260
269,1097,84,23,393,33,106,129,82,314,517,21430,315,126,602,477,130,341,197,566,95,57,977,214,2595
260,1086,108,25,391,34,103,101,128,295,517,18866,219,128,483,482,130,318,155,573,93,66,828,241,2254
265,1188,86,25,394,33,101,188,83,434,517,33340,219,126,471,481,132,310,302,633,113,67,945,271,2257
280,1894,88,26,394,33,104,113,86,315,517,47458,219,130,556,480,130,309,248,552,94,105,576,221,2270
266,1066,86,25,396,34,109,42065,87,454,708,22153,220,158,523,484,131,311,327,774,126,83,537,1629,2257
258,1128,140,34,397,35,106,120,461,507,519,17683,218,134,572,480,131,322,416,556,105,62,1539,259,2248
270,3002,88,24,412,63,107,143,98,326,518,30672,220,131,544,482,132,414,128,646,220,61,535,245,2254
278,1201,85,23,399,34,103,101,88,357,523,31142,224,126,482,476,129,334,120,602,125,84,544,244,2261
263,1076,288,27,391,34,106,177,333,342,520,30082,219,130,541,478,135,328,176,569,634,82,543,267,2255
554,1058,304,27,405,321,103,135,106,330,519,42768,222,127,526,480,134,323,117,1067,102,75,1229,289,2243
274,1079,288,27,396,2865,105,176,1102,314,710,33116,222,157,483,484,130,360,121,599,111,62,542,2212,2247
273,1087,101,28,396,86,106,149,83,493,519,7328,224,128,477,484,129,310,146,662,111,87,973,238,2250
430,1076,88,26,400,34,104,113,83,316,518,14846,218,132,491,482,139,392,128,697,116,75,5676,254,2256
259,1097,244,24,345,214,110,158,124,419,518,6379,221,156,478,496,129,311,141,554,108,95,1723,241,2248
909,1204,87,25,393,41,104,142,134,300,516,4172,222,126,570,478,131,310,137,774,135,106,911,237,2483
318,1076,84,25,404,34,104,102,88,378,520,4822,217,125,871,1544,132,335,124,598,96,61,4598,761,2257
381,1088,90,24,394,34,103,106,1804,365,703,4997,219,127,470,492,138,310,300,602,96,64,1208,254,2249
565,1060,87,27,394,34,103,115,89,314,517,2517,220,126,466,492,130,515,183,625,325,175,905,294,2252
867,1104,86,36,405,33,104,101,455,321,518,4751,223,129,468,482,131,315,308,756,116,102,1063,300,2246
518,1109,87,24,399,33,102,163,88,543,520,4964,221,133,472,482,131,310,194,610,104,74,1070,247,2334
316,1080,210,38,398,35,106,191,242,305,516,4223,230,136,480,489,132,306,337,577,100,100,544,1856,2319
